date,volume_real,volume_projection,volume_lower,volume_upper
2007-06-01,12735,,,
2007-07-01,12554,,,
2007-08-01,12578,,,
2007-09-01,12505,,,
2007-10-01,12494,,,
2007-11-01,12520,,,
2007-12-01,12860,,,
2008-01-01,13017,,,
2008-02-01,13062,,,
2008-03-01,12940,,,
2008-04-01,12463,,,
2008-05-01,12132,,,
2008-06-01,11941,,,
2008-07-01,11890,,,
2008-08-01,11955,,,
2008-09-01,12013,,,
2008-10-01,12213,,,
2008-11-01,12157,,,
2008-12-01,12496,,,
2009-01-01,12572,,,
2009-02-01,12539,,,
2009-03-01,12164,,,
2009-04-01,11604,,,
2009-05-01,11217,,,
2009-06-01,11071,,,
2009-07-01,10978,,,
2009-08-01,10938,,,
2009-09-01,10933,,,
2009-10-01,10897,,,
2009-11-01,10919,,,
2009-12-01,11162,,,
2010-01-01,11493,,,
2010-02-01,11780,,,
2010-03-01,11550,,,
2010-04-01,11313,,,
2010-05-01,10987,,,
2010-06-01,10556,,,
2010-07-01,10357,,,
2010-08-01,10352,,,
2010-09-01,10092,,,
2010-10-01,9971,,,
2010-11-01,9936,,,
2010-12-01,10301,,,
2011-01-01,10765,,,
2011-02-01,11117,,,
2011-03-01,11170,,,
2011-04-01,11115,,,
2011-05-01,11304,,,
2011-06-01,11705,,,
2011-07-01,12133,,,
2011-08-01,12730,,,
2011-09-01,12977,,,
2011-10-01,13456,,,
2011-11-01,13933,,,
2011-12-01,14644,,,
2012-01-01,15022,,,
2012-02-01,14907,,,
2012-03-01,14535,,,
2012-04-01,13986,,,
2012-05-01,13541,,,
2012-06-01,13200,,,
2012-07-01,13207,,,
2012-08-01,13269,,,
2012-09-01,13135,,,
2012-10-01,13263,,,
2012-11-01,13334,,,
2012-12-01,13636,,,
2013-01-01,13828,,,
2013-02-01,13810,,,
2013-03-01,13465,,,
2013-04-01,12921,,,
2013-05-01,12495,,,
2013-06-01,12276,,,
2013-07-01,12270,,,
2013-08-01,12289,,,
2013-09-01,12362,,,
2013-10-01,12099,,,
2013-11-01,12310,,,
2013-12-01,12344,,,
2014-01-01,12531,,,
2014-02-01,12456,,,
2014-03-01,11888,,,
2014-04-01,11254,,,
2014-05-01,10639,,,
2014-06-01,10233,,,
2014-07-01,10061,,,
2014-08-01,10140,,,
2014-09-01,10121,,,
2014-10-01,10244,,,
2014-11-01,10309,,,
2014-12-01,10667,,,
2015-01-01,10729,,,
2015-02-01,10769,,,
2015-03-01,10419,,,
2015-04-01,9931,,,
2015-05-01,9729,,,
2015-06-01,9607,,,
2015-07-01,9858,,,
2015-08-01,9871,,,
2015-09-01,9854,,,
2015-10-01,9927,,,
2015-11-01,9865,,,
2015-12-01,10087,,,
2016-01-01,10318,,,
2016-02-01,10360,,,
2016-03-01,10048,,,
2016-04-01,9693,,,
2016-05-01,9504,,,
2016-06-01,9330,,,
2016-07-01,9419,,,
2016-08-01,9615,,,
2016-09-01,9620,,,
2016-10-01,9710,,,
2016-11-01,9727,,,
2016-12-01,10079,,,
2017-01-01,10521,,,
2017-02-01,10838,,,
2017-03-01,10707,,,
2017-04-01,10420,,,
2017-05-01,10141,,,
2017-06-01,9971,,,
2017-07-01,9931,,,
2017-08-01,10131,,,
2017-09-01,10182,,,
2017-10-01,10202,,,
2017-11-01,10090,,,
2017-12-01,10221,,,
2018-01-01,10642,,,
2018-02-01,10703,,,
2018-03-01,10694,,,
2018-04-01,10387,,,
2018-05-01,10011,,,
2018-06-01,9748,,,
2018-07-01,9799,,,
2018-08-01,9918,,,
2018-09-01,9870,,,
2018-10-01,9889,,,
2018-11-01,9872,,,
2018-12-01,10132,,,
2019-01-01,10493,,,
2019-02-01,10682,,,
2019-03-01,10878,,,
2019-04-01,10767,,,
2019-05-01,10555,,,
2019-06-01,10405,,,
2019-07-01,10246,,,
2019-08-01,10299,,,
2019-09-01,10261,,,
2019-10-01,10228,,,
2019-11-01,10333,,,
2019-12-01,10899,,,
2020-01-01,11265,,,
2020-02-01,11405,,,
2020-03-01,11610,,,
2020-04-01,11415,,,
2020-05-01,10971,,,
2020-06-01,10605,,,
2020-07-01,10398,,,
2020-08-01,10349,,,
2020-09-01,10279,,,
2020-10-01,10167,,,
2020-11-01,10100,,,
2020-12-01,10322,,,
2021-01-01,10510,,,
2021-02-01,10622,,,
2021-03-01,10378,,,
2021-04-01,9953,,,
2021-05-01,9480,,,
2021-06-01,9102,,,
2021-07-01,9014,,,
2021-08-01,9038,,,
2021-09-01,9016,,,
2021-10-01,8945,,,
2021-11-01,8804,,,
2021-12-01,8915,,,
2022-01-01,8970,,,
2022-02-01,8946,,,
2022-03-01,8536,,,
2022-04-01,8026,,,
2022-05-01,7517,,,
2022-06-01,7187,,,
2022-07-01,7041,,,
2022-08-01,7275,,,
2022-09-01,7328,,,
2022-10-01,7417,,,
2022-11-01,7187,,,
2022-12-01,7313,,,
2023-01-01,,7562,7415,8295
2023-02-01,,7738,7168,8534
2023-03-01,,7571,6756,8430
2023-04-01,,7249,6381,8170
2023-05-01,,6961,6068,7946
2023-06-01,,6737,5780,7785
2023-07-01,,6532,5617,7642
2023-08-01,,6449,5491,7622
2023-09-01,,6408,5461,7644
2023-10-01,,6462,5564,7761
2023-11-01,,6718,5770,8080
2023-12-01,,7006,5939,8431
2024-01-01,,7248,6024,8736
2024-02-01,,7402,5775,8953
2024-03-01,,7235,5354,8848
2024-04-01,,6902,4931,8579
2024-05-01,,6553,4634,8292
2024-06-01,,6327,4368,8130
2024-07-01,,6134,4240,7999
2024-08-01,,6073,4160,8001
2024-09-01,,6074,4179,8065
2024-10-01,,6165,4238,8218
2024-11-01,,6319,4389,8436
2024-12-01,,6539,4590,8719
2025-01-01,,6803,4738,9045
2025-02-01,,7028,4505,9333
2025-03-01,,6862,4087,9230
2025-04-01,,6538,3691,8969
2025-05-01,,6209,3402,8703
2025-06-01,,5986,3135,8543
2025-07-01,,5790,2999,8410
2025-08-01,,5722,2919,8405
2025-09-01,,5710,2938,8456
2025-10-01,,5789,3018,8598
2025-11-01,,5956,3200,8827
2025-12-01,,6201,3403,9135
2026-01-01,,6459,3550,9457
2026-02-01,,6662,3321,9722
2026-03-01,,6498,2917,9621
2026-04-01,,6184,2537,9370
2026-05-01,,5877,2255,9125
2026-06-01,,5654,1990,8966
2026-07-01,,5455,1851,8830
2026-08-01,,5382,1762,8820
2026-09-01,,5357,1766,8858
2026-10-01,,5425,1875,8989
2026-11-01,,5609,2093,9236
2026-12-01,,5879,2289,9568
2027-01-01,,6132,2414,9884
2027-02-01,,6312,2198,10127
2027-03-01,,6150,1804,10028
2027-04-01,,5849,1447,9790
2027-05-01,,5563,1165,9567
2027-06-01,,5342,905,9409
2027-07-01,,5139,764,9269
2027-08-01,,5060,670,9253
2027-09-01,,5023,672,9278
2027-10-01,,5080,813,9398
2027-11-01,,5284,1050,9665
2027-12-01,,5578,1247,10022
2028-01-01,,5824,1363,10331
2028-02-01,,5982,1141,10551
2028-03-01,,5819,739,10452
2028-04-01,,5545,341,10240
2028-05-01,,5197,67,9955
2028-06-01,,4975,-179,9796
2028-07-01,,4785,-285,9669
2028-08-01,,4727,-336,9674
2028-09-01,,4732,-300,9742
2028-10-01,,4826,-207,9899
2028-11-01,,4971,-23,10107
2028-12-01,,5196,203,10395
2029-01-01,,5463,385,10725
2029-02-01,,5692,172,11017
2029-03-01,,5531,-215,10918
2029-04-01,,5226,-585,10677
2029-05-01,,4900,-851,10413
2029-06-01,,4680,-1093,10256
2029-07-01,,4487,-1199,10126
2029-08-01,,4424,-1262,10126
2029-09-01,,4416,-1222,10180
2029-10-01,,4498,-1109,10326
2029-11-01,,4662,-901,10553
2029-12-01,,4913,-682,10866
2030-01-01,,5175,-525,11192
2030-02-01,,5382,-727,11461
2030-03-01,,5223,-1109,11365
2030-04-01,,4915,-1449,11120
2030-05-01,,4610,-1706,10878
2030-06-01,,4391,-1941,10722
2030-07-01,,4196,-2045,10590
2030-08-01,,4127,-2109,10583
2030-09-01,,4106,-2070,10625
2030-10-01,,4178,-1940,10760
2030-11-01,,4362,-1708,11008
2030-12-01,,4637,-1481,11345
